n_conf   beta   p_new3_wc   p_new3_we   p_new3_omni   p_new2_wc   p_new2_we   p_new2_omni   p_new1_wc   p_new1_we   p_new1_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr
0   1   0.0521   0.0441   0.0488   0.0853   0.0599   0.072   0.0976   0.197   0.146   0.0465   0.074   0.519   0.0486   0.0455   0.309   0.00239   0.172   0.334   0.00256   0.178   0.332   0.0023   0.182   0.317   0.00207   0.182   0.321   0.00209   0.182   4.48   0.081   0.51   0.355   0.00276   0.193   0.341   0.00218   0.193
0   1.4   0.081   0.0969   0.0867   NA   NA   NA   NA   NA   NA   0.121   0.178   0.813   0.111   0.0844   0.58   0.0109   0.189   0.685   0.0146   0.188   0.629   0.0127   0.193   0.644   0.0134   0.191   0.658   0.0138   0.191   7.53   0.182   0.445   0.682   0.0155   0.192   0.621   0.0108   0.214
0   1.6   0.185   0.245   0.223   NA   NA   NA   NA   NA   NA   0.241   0.344   0.926   0.223   0.159   1.17   0.0326   0.198   1.57   0.0462   0.212   1.49   0.0431   0.203   1.55   0.0459   0.198   1.57   0.0462   0.2   9.16   0.238   0.437   1.43   0.0416   0.208   1.02   0.0254   0.2
0   1.8   0.329   0.433   0.428   NA   NA   NA   NA   NA   NA   0.433   0.588   0.973   0.417   0.295   2.35   0.0773   0.213   3.31   0.115   0.2   3.06   0.106   0.205   3.29   0.112   0.218   3.36   0.113   0.22   11.5   0.31   0.42   2.77   0.0948   0.21   1.82   0.055   0.213
0   2   0.51   0.685   0.67   NA   NA   NA   NA   NA   NA   0.668   0.803   0.993   0.62   0.437   4.1   0.146   0.218   5.98   0.223   0.203   5.79   0.214   0.209   5.94   0.219   0.21   5.99   0.22   0.212   13.5   0.383   0.399   4.82   0.177   0.206   2.82   0.0962   0.209
0   2.2   0.721   0.862   0.862   NA   NA   NA   NA   NA   NA   0.87   0.935   0.997   0.811   0.649   6.57   0.245   0.217   9.14   0.351   0.204   8.85   0.338   0.212   9.68   0.363   0.216   9.8   0.365   0.219   15.9   0.457   0.398   7.36   0.277   0.211   4.62   0.163   0.219
0   2.4   0.847   0.949   0.952   NA   NA   NA   NA   NA   NA   0.941   0.987   1   0.929   0.761   9.18   0.356   0.195   12.5   0.486   0.199   12.1   0.47   0.2   12.9   0.495   0.209   13   0.498   0.212   17.9   0.533   0.382   10.1   0.384   0.212   6.05   0.226   0.206
0   2.6   0.945   0.992   0.99   NA   NA   NA   NA   NA   NA   0.969   0.999   1   0.987   0.884   12.1   0.465   0.212   15   0.589   0.203   14.7   0.575   0.203   15.9   0.611   0.212   16   0.613   0.217   20.1   0.604   0.378   12.2   0.467   0.212   8   0.299   0.216
