n_conf   beta   p_new3_wc   p_new3_we   p_new3_omni   p_new2_wc   p_new2_we   p_new2_omni   p_new1_wc   p_new1_we   p_new1_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr
0   1   0.0515   0.0537   0.0478   0.0714   0.0601   0.0676   0.0993   0.194   0.148   0.0565   0.0833   0.559   0.0541   0.056   0.338   0.00285   0.205   0.34   0.0027   0.206   0.359   0.00308   0.215   0.326   0.00241   0.201   0.332   0.00243   0.202   4.26   0.218   0.592   0.343   0.00208   0.211   0.359   0.00229   0.22
0   1.2   0.0711   0.0788   0.0766   NA   NA   NA   NA   NA   NA   0.0832   0.119   0.789   0.0733   0.0733   0.423   0.0197   0.196   0.384   0.0193   0.18   0.432   0.0214   0.206   0.457   0.0223   0.207   0.457   0.0223   0.207   5.07   0.32   0.566   0.418   0.0179   0.204   0.455   0.0168   0.222
0   1.3   0.103   0.137   0.124   NA   NA   NA   NA   NA   NA   0.123   0.182   0.882   0.119   0.101   0.642   0.0457   0.199   0.67   0.0529   0.2   0.702   0.0544   0.207   0.74   0.0566   0.211   0.743   0.0568   0.21   5.67   0.363   0.576   0.677   0.0519   0.209   0.568   0.0358   0.197
0   1.4   0.239   0.258   0.261   NA   NA   NA   NA   NA   NA   0.234   0.335   0.938   0.251   0.175   1.02   0.108   0.208   1.15   0.126   0.208   1.23   0.135   0.223   1.34   0.143   0.216   1.35   0.144   0.216   5.91   0.418   0.547   1.12   0.117   0.223   0.917   0.079   0.236
0   1.5   0.369   0.435   0.453   NA   NA   NA   NA   NA   NA   0.452   0.546   0.975   0.411   0.282   1.69   0.209   0.205   1.75   0.223   0.203   1.88   0.238   0.209   2   0.255   0.208   2.01   0.255   0.209   6.71   0.486   0.544   1.59   0.196   0.205   1.37   0.143   0.231
0   1.6   0.584   0.652   0.675   NA   NA   NA   NA   NA   NA   0.634   0.751   0.986   0.6   0.425   2.41   0.325   0.201   2.43   0.337   0.195   2.61   0.358   0.205   2.82   0.388   0.203   2.85   0.389   0.205   7.05   0.547   0.527   2.09   0.277   0.208   1.8   0.221   0.209
0   1.7   0.721   0.832   0.815   NA   NA   NA   NA   NA   NA   0.806   0.881   0.999   0.785   0.56   2.96   0.423   0.192   3.08   0.449   0.185   3.27   0.474   0.192   3.49   0.502   0.203   3.51   0.503   0.203   7.72   0.606   0.534   2.5   0.353   0.195   2.2   0.282   0.227
0   1.8   0.862   0.928   0.942   NA   NA   NA   NA   NA   NA   0.914   0.968   1   0.901   0.692   3.84   0.56   0.201   3.83   0.566   0.196   4.12   0.601   0.206   4.31   0.629   0.202   4.33   0.63   0.205   8.08   0.666   0.519   2.9   0.422   0.187   2.71   0.365   0.219
