n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0488   0.0489   0.0461   0.0505   0.0834   0.0477   0.0514   0.0505   0.322   0.0022   0.178   0.319   0.00211   0.177   0.329   0.0023   0.182   0.315   0.00239   0.171   0.317   0.0024   0.171   0.341   0.00234   0.188   0.337   0.00276   0.179   0.339   0.00225   0.189   133   144   95.7   108
0   1.2   0.064   0.06   0.061   0.063   0.104   0.06   0.071   0.048   0.402   0.0056   0.177   0.42   0.00625   0.173   0.411   0.00595   0.17   0.401   0.00575   0.167   0.405   0.0059   0.167   0.395   0.00565   0.176   0.464   0.00655   0.196   0.406   0.0054   0.176   133   144   95.1   108
0   1.4   0.138   0.158   0.144   0.179   0.255   0.146   0.151   0.134   0.927   0.0244   0.196   1.01   0.0266   0.2   1   0.027   0.195   1.08   0.0293   0.197   1.08   0.0294   0.197   0.921   0.0238   0.198   0.922   0.0231   0.204   0.833   0.0204   0.192   132   143   94.3   107
0   1.6   0.3   0.394   0.373   0.399   0.55   0.316   0.334   0.293   2.38   0.0788   0.207   2.77   0.0954   0.199   2.82   0.0966   0.203   2.94   0.1   0.21   2.95   0.1   0.21   2.34   0.0792   0.2   2.29   0.0738   0.222   1.88   0.0596   0.221   131   142   93.7   107
0   1.8   0.637   0.74   0.745   0.748   0.874   0.633   0.643   0.593   5.65   0.206   0.22   6.69   0.25   0.209   6.81   0.252   0.216   6.95   0.256   0.22   7   0.257   0.222   5.6   0.205   0.216   4.67   0.169   0.226   4.22   0.15   0.224   131   142   93.1   106
0   2   0.869   0.935   0.944   0.926   0.984   0.873   0.854   0.839   9.64   0.367   0.214   11.1   0.428   0.204   11.3   0.435   0.208   11.5   0.44   0.217   11.6   0.441   0.22   9.63   0.368   0.208   7.62   0.283   0.222   7.08   0.264   0.212   130   141   92.5   106
0   2.2   0.97   0.995   0.997   0.98   1   0.984   0.968   0.962   13.4   0.52   0.203   15.1   0.593   0.2   15.2   0.598   0.2   15.6   0.604   0.211   15.8   0.606   0.216   13.5   0.526   0.201   10.7   0.407   0.215   9.84   0.376   0.207   130   141   91.8   105
0   2.4   0.999   1   1   0.991   1   0.999   0.996   0.996   16.8   0.661   0.2   18.3   0.722   0.199   18.6   0.73   0.202   18.8   0.732   0.207   18.9   0.733   0.211   16.9   0.665   0.199   13   0.503   0.21   12.2   0.475   0.197   129   140   91.4   105
0   2.6   1   1   1   0.985   1   1   1   1   19.2   0.757   0.201   20.4   0.807   0.199   20.8   0.817   0.203   20.9   0.818   0.204   21   0.819   0.209   19.3   0.761   0.2   14.7   0.574   0.202   14.1   0.549   0.204   129   140   90.9   105
