n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0506   0.0507   0.05   0.0539   0.086   0.0512   0.0545   0.0509   0.331   0.000452   0.203   0.332   0.00041   0.199   0.342   0.000432   0.208   0.323   0.000232   0.198   0.325   0.000232   0.199   0.35   0.00044   0.211   0.348   0.000214   0.219   0.35   0.000134   0.219   121   132   94.1   92.4
0   3   0.128   0.132   0.123   0.098   0.176   0.124   0.102   0.082   0.957   0.00966   0.195   0.881   0.00912   0.178   0.884   0.0094   0.18   0.678   0.0063   0.174   0.681   0.00634   0.174   0.912   0.00938   0.188   0.714   0.00602   0.182   0.585   0.00414   0.191   127   139   98.1   94.3
0   5   0.375   0.351   0.382   0.34   0.484   0.36   0.298   0.247   3.37   0.0466   0.207   3.12   0.043   0.197   3.38   0.0465   0.202   2.65   0.0353   0.192   2.66   0.0354   0.193   3.33   0.0461   0.204   2.16   0.0282   0.181   1.52   0.0179   0.209   129   142   100   95.7
0   6   0.517   0.501   0.543   0.468   0.631   0.516   0.427   0.339   5.31   0.0773   0.198   4.83   0.0701   0.201   5.18   0.0752   0.203   3.91   0.056   0.196   3.93   0.0561   0.198   5.28   0.0764   0.204   3.19   0.045   0.194   2.04   0.0261   0.207   128   141   97.7   96.4
0   7   0.668   0.621   0.693   0.644   0.787   0.661   0.576   0.463   7.81   0.117   0.209   7.03   0.103   0.213   7.74   0.114   0.216   5.7   0.0851   0.193   5.72   0.0852   0.194   7.74   0.115   0.207   4.33   0.0641   0.186   3.1   0.0432   0.194   130   143   99.9   96.6
0   8   0.755   0.737   0.79   0.735   0.867   0.749   0.661   0.574   9.48   0.145   0.202   8.6   0.13   0.204   9.4   0.144   0.199   7.06   0.108   0.193   7.12   0.108   0.195   9.43   0.144   0.196   5.54   0.0821   0.191   3.55   0.0512   0.183   129   143   100   96.6
0   9   0.869   0.816   0.884   0.825   0.938   0.866   0.782   0.669   12.5   0.191   0.205   11.2   0.17   0.207   12.4   0.188   0.215   9.53   0.145   0.208   9.59   0.145   0.21   12.4   0.19   0.207   7.23   0.108   0.206   4.82   0.0712   0.199   129   143   100   95.1
0   10   0.925   0.902   0.946   0.891   0.969   0.928   0.873   0.721   15   0.23   0.209   13.6   0.206   0.216   14.6   0.224   0.209   11.3   0.174   0.198   11.4   0.175   0.2   14.9   0.228   0.21   8.64   0.131   0.198   5.76   0.0864   0.189   131   144   99.7   97.4
0   20   1   0.999   1   0.979   1   1   1   0.996   28.2   0.443   0.203   26.5   0.414   0.205   27.9   0.437   0.205   23.3   0.363   0.207   23.5   0.363   0.212   28.2   0.442   0.204   18   0.281   0.206   13.8   0.214   0.204   132   145   102   97.7
0   30   1   1   1   0.994   1   1   1   1   32.6   0.506   0.215   31.2   0.485   0.214   32.4   0.502   0.216   27.1   0.416   0.221   27.3   0.416   0.226   32.7   0.506   0.215   20.7   0.318   0.217   17.7   0.271   0.215   128   142   99.4   96.9
0   40   1   1   1   0.983   1   1   1   1   35.5   0.55   0.218   34.7   0.533   0.223   35.6   0.547   0.223   30.1   0.458   0.23   30.3   0.458   0.236   35.7   0.55   0.221   23.2   0.351   0.23   19   0.292   0.216   129   143   97.6   96.1
0   50   1   1   1   0.981   1   1   1   1   37.2   0.57   0.225   36.3   0.558   0.223   37.2   0.568   0.23   31.7   0.476   0.241   32.1   0.476   0.249   37.3   0.571   0.227   24.4   0.366   0.238   20.7   0.313   0.231   127   140   96.6   95.3
