n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0504   0.0499   0.0453   0.0484   0.0825   0.05   0.0504   0.0489   0.327   0.00248   0.199   0.331   0.0024   0.198   0.338   0.0024   0.204   0.317   0.00214   0.19   0.318   0.00214   0.19   0.346   0.00254   0.211   0.331   0.0021   0.205   0.336   0.00174   0.21   121   131   100   94
0   1.2   0.087   0.101   0.083   0.09   0.142   0.083   0.09   0.077   0.568   0.0396   0.191   0.537   0.0326   0.201   0.57   0.039   0.197   0.545   0.0346   0.199   0.545   0.0346   0.199   0.597   0.0404   0.207   0.523   0.0228   0.219   0.507   0.0314   0.191   120   130   99.6   93.2
0   1.3   0.229   0.214   0.226   0.24   0.302   0.241   0.171   0.201   1.07   0.122   0.196   0.962   0.103   0.206   1.05   0.116   0.203   1.09   0.125   0.199   1.11   0.126   0.2   1.1   0.125   0.203   0.827   0.0734   0.214   0.965   0.103   0.207   120   130   99.3   92.9
0   1.4   0.506   0.453   0.498   0.48   0.597   0.498   0.331   0.437   2.11   0.281   0.197   1.86   0.243   0.204   2.11   0.278   0.2   2.13   0.284   0.203   2.14   0.284   0.204   2.15   0.293   0.195   1.31   0.156   0.202   1.75   0.217   0.213   120   129   99.2   92.4
0   1.5   0.774   0.721   0.791   0.715   0.817   0.762   0.577   0.632   3.21   0.454   0.208   3   0.425   0.202   3.18   0.455   0.198   3.22   0.455   0.206   3.22   0.456   0.206   3.26   0.465   0.207   1.92   0.249   0.213   2.4   0.333   0.195   119   129   98.9   92.3
0   1.6   0.922   0.884   0.933   0.888   0.958   0.922   0.768   0.845   4.14   0.611   0.198   4.02   0.589   0.198   4.2   0.621   0.199   4.27   0.632   0.194   4.28   0.632   0.195   4.2   0.623   0.197   2.55   0.349   0.205   3.05   0.441   0.192   119   129   98.8   91.9
0   1.7   0.983   0.971   0.987   0.965   0.988   0.98   0.905   0.938   4.89   0.729   0.199   4.79   0.718   0.198   4.92   0.741   0.195   5   0.756   0.193   5.02   0.757   0.194   5   0.752   0.198   2.99   0.423   0.204   3.47   0.509   0.192   119   129   98.4   91.6
0   1.8   0.998   0.997   1   0.983   1   0.998   0.974   0.982   5.48   0.834   0.194   5.42   0.828   0.192   5.52   0.841   0.194   5.56   0.849   0.192   5.58   0.85   0.194   5.57   0.847   0.194   3.37   0.495   0.193   3.63   0.547   0.184   118   128   98.5   91.2
