n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0499   0.0477   0.0461   0.0524   0.0797   0.0486   0.0525   0.0512   0.327   0.0024   0.202   0.324   0.00236   0.199   0.339   0.0024   0.21   0.316   0.00294   0.195   0.318   0.00294   0.196   0.348   0.00268   0.212   0.336   0.00252   0.213   0.341   0.00214   0.214   128   138   100   105
0   1.2   0.089   0.103   0.095   0.089   0.134   0.075   0.073   0.086   0.535   0.031   0.208   0.523   0.0312   0.2   0.551   0.0328   0.207   0.503   0.0334   0.19   0.503   0.0334   0.19   0.555   0.0346   0.217   0.481   0.0238   0.213   0.52   0.0292   0.21   127   137   99.7   105
0   1.3   0.224   0.234   0.237   0.227   0.307   0.21   0.185   0.199   0.999   0.103   0.2   1.03   0.105   0.213   1.12   0.118   0.213   1.11   0.119   0.192   1.11   0.12   0.193   0.985   0.101   0.206   0.875   0.0776   0.22   0.958   0.0918   0.208   127   137   99.4   105
0   1.4   0.439   0.457   0.481   0.46   0.582   0.406   0.364   0.397   1.98   0.252   0.208   1.93   0.253   0.204   2.11   0.275   0.212   2.12   0.272   0.217   2.12   0.272   0.218   1.97   0.252   0.211   1.35   0.161   0.205   1.65   0.2   0.229   127   136   99.2   104
0   1.5   0.681   0.697   0.739   0.692   0.795   0.646   0.57   0.621   2.87   0.407   0.201   2.97   0.417   0.202   3.14   0.446   0.202   3.1   0.445   0.19   3.11   0.446   0.191   2.98   0.421   0.203   1.95   0.262   0.184   2.38   0.317   0.219   126   136   99   104
0   1.6   0.894   0.909   0.916   0.897   0.946   0.841   0.764   0.827   3.86   0.56   0.211   3.88   0.577   0.194   4.04   0.6   0.199   4.15   0.615   0.196   4.18   0.618   0.196   4.07   0.596   0.204   2.49   0.353   0.19   3.04   0.428   0.211   126   135   98.8   104
0   1.7   0.972   0.967   0.982   0.959   0.985   0.963   0.907   0.947   4.59   0.684   0.196   4.78   0.715   0.202   4.93   0.737   0.201   5.04   0.748   0.205   5.06   0.749   0.207   4.87   0.727   0.198   3.07   0.435   0.211   3.48   0.505   0.201   125   135   98.4   103
0   1.8   0.997   0.996   0.999   0.982   1   0.992   0.972   0.986   5.13   0.78   0.194   5.44   0.827   0.198   5.44   0.829   0.194   5.52   0.836   0.195   5.54   0.836   0.197   5.43   0.828   0.193   3.31   0.49   0.186   3.73   0.547   0.2   125   135   98.4   103
