n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0476   0.0466   0.046   0.0476   0.0808   0.049   0.05   0.0479   0.32   0.0024   0.17   0.324   0.00235   0.175   0.329   0.00238   0.179   0.318   0.00252   0.169   0.319   0.00252   0.169   0.344   0.0024   0.185   0.327   0.0027   0.176   0.345   0.00273   0.184   125   137   95.8   95.7
0   1.2   0.066   0.058   0.058   0.07   0.1   0.071   0.061   0.06   0.417   0.0066   0.177   0.43   0.0065   0.173   0.429   0.00645   0.181   0.454   0.0072   0.177   0.454   0.0072   0.177   0.455   0.0071   0.189   0.467   0.00635   0.19   0.392   0.006   0.179   124   136   94.9   95.2
0   1.4   0.167   0.166   0.163   0.158   0.255   0.17   0.154   0.138   1.02   0.0271   0.212   1.05   0.0284   0.198   1.06   0.0292   0.204   1.14   0.031   0.192   1.15   0.0312   0.193   1.08   0.0286   0.215   0.972   0.0253   0.206   0.865   0.0214   0.202   123   135   94.1   94.6
0   1.6   0.413   0.387   0.424   0.423   0.568   0.411   0.35   0.311   2.99   0.1   0.22   2.76   0.0956   0.2   3.02   0.104   0.21   3.1   0.102   0.219   3.12   0.103   0.219   3.01   0.102   0.216   2.28   0.072   0.221   1.98   0.0627   0.209   123   134   93.5   94.1
0   1.8   0.72   0.708   0.768   0.722   0.846   0.72   0.591   0.613   6.75   0.251   0.212   6.67   0.249   0.215   7.11   0.266   0.211   6.79   0.249   0.223   6.82   0.249   0.223   6.82   0.255   0.21   4.5   0.161   0.219   4.29   0.152   0.22   122   134   93   93.7
0   2   0.933   0.929   0.958   0.931   0.978   0.928   0.831   0.842   11.5   0.443   0.209   11.2   0.435   0.203   12.1   0.465   0.211   11.5   0.44   0.215   11.6   0.442   0.218   11.7   0.45   0.211   7.48   0.281   0.215   7.2   0.269   0.213   121   133   92.4   93.2
0   2.2   0.994   0.991   0.999   0.973   0.999   0.995   0.963   0.956   15.5   0.605   0.206   15.3   0.599   0.203   16.2   0.628   0.207   16   0.612   0.217   16.1   0.614   0.22   15.6   0.608   0.206   10.8   0.409   0.219   10.2   0.385   0.225   121   132   91.9   92.8
0   2.4   1   1   1   0.986   1   1   0.995   0.995   18.8   0.738   0.201   18.3   0.722   0.199   19   0.749   0.2   18.9   0.732   0.21   19   0.734   0.214   18.8   0.742   0.2   12.9   0.5   0.207   12.5   0.478   0.213   120   132   91.3   92.4
0   2.6   1   0.999   1   0.986   1   0.999   0.998   0.999   20.7   0.818   0.197   20.4   0.8   0.203   21   0.827   0.201   21   0.818   0.21   21.2   0.82   0.214   20.8   0.82   0.201   14.7   0.57   0.206   14.3   0.554   0.206   120   131   90.7   92
