n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
1   1   0.0569   0.0586   0.0565   0.0636   0.105   0.0565   0.0545   0.0655   0.415   0.00274   0.22   0.406   0.00252   0.221   0.418   0.0025   0.228   0.427   0.00281   0.226   0.43   0.00283   0.226   0.437   0.00308   0.229   0.414   0.00241   0.227   0.427   0.00239   0.229   127   137   99.5   105
1   1.4   0.206   0.217   0.221   0.221   0.294   0.18   0.163   0.179   1.06   0.099   0.218   1.08   0.0956   0.248   1.12   0.105   0.235   1.18   0.114   0.235   1.19   0.114   0.236   1.08   0.0967   0.226   0.854   0.0721   0.22   0.979   0.0833   0.238   126   135   98.7   103
1   1.5   0.351   0.368   0.383   0.354   0.449   0.316   0.272   0.292   1.6   0.172   0.226   1.66   0.181   0.226   1.81   0.197   0.237   1.79   0.194   0.226   1.81   0.195   0.228   1.61   0.168   0.226   1.22   0.12   0.219   1.38   0.138   0.242   125   135   98.3   104
1   1.6   0.478   0.516   0.534   0.499   0.603   0.451   0.385   0.421   2.23   0.276   0.208   2.29   0.284   0.232   2.4   0.296   0.231   2.36   0.293   0.213   2.37   0.293   0.213   2.23   0.274   0.204   1.58   0.177   0.219   1.84   0.214   0.221   125   135   98.4   103
1   1.7   0.673   0.696   0.721   0.668   0.768   0.634   0.53   0.609   3.05   0.393   0.225   3.11   0.405   0.23   3.24   0.425   0.232   3.23   0.426   0.227   3.25   0.427   0.227   3.1   0.404   0.222   2.02   0.247   0.22   2.42   0.306   0.222   124   134   97.7   103
1   1.8   0.79   0.832   0.847   0.806   0.88   0.761   0.674   0.725   3.62   0.492   0.214   3.74   0.507   0.224   3.95   0.532   0.228   3.9   0.531   0.218   3.92   0.533   0.219   3.83   0.515   0.218   2.44   0.317   0.211   2.87   0.373   0.228   124   134   97.9   103
1   1.9   0.891   0.906   0.928   0.898   0.948   0.862   0.782   0.831   4.15   0.582   0.219   4.34   0.608   0.226   4.46   0.626   0.225   4.49   0.628   0.223   4.51   0.629   0.225   4.32   0.608   0.217   2.78   0.37   0.22   3.21   0.434   0.218   124   134   97.4   102
1   2   0.946   0.96   0.969   0.94   0.972   0.932   0.869   0.886   4.66   0.657   0.222   4.91   0.698   0.223   5.06   0.712   0.23   5.04   0.707   0.227   5.05   0.708   0.229   4.94   0.697   0.224   3.14   0.423   0.217   3.57   0.485   0.228   123   133   97   102
