n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
1   1   0.059   0.0606   0.0574   0.0595   0.0989   0.0606   0.0543   0.0644   0.426   0.00263   0.205   0.414   0.00237   0.215   0.434   0.00242   0.222   0.417   0.00268   0.201   0.419   0.0027   0.201   0.459   0.00283   0.218   0.393   0.0028   0.194   0.454   0.00279   0.218   133   144   95.1   108
1   1.6   0.164   0.209   0.189   0.202   0.278   0.15   0.171   0.152   1.2   0.0282   0.222   1.4   0.0358   0.24   1.39   0.0346   0.24   1.33   0.0339   0.23   1.34   0.0339   0.23   1.22   0.0291   0.232   1.11   0.0267   0.217   1.09   0.0253   0.227   131   142   93   106
1   1.8   0.292   0.354   0.339   0.339   0.462   0.268   0.263   0.271   2.25   0.0659   0.233   2.75   0.0854   0.235   2.76   0.084   0.24   2.54   0.0798   0.225   2.57   0.0804   0.228   2.26   0.0666   0.236   1.88   0.0554   0.215   1.93   0.0565   0.211   130   141   92.2   106
1   2   0.437   0.519   0.527   0.529   0.679   0.453   0.415   0.422   3.74   0.122   0.237   4.54   0.156   0.239   4.41   0.15   0.234   4.7   0.156   0.247   4.75   0.156   0.248   3.84   0.124   0.238   3.29   0.106   0.219   3.12   0.0967   0.238   129   140   91.7   105
1   2.2   0.611   0.73   0.735   0.717   0.831   0.599   0.6   0.581   6.2   0.213   0.24   7.64   0.271   0.25   7.78   0.271   0.251   7.55   0.264   0.245   7.64   0.266   0.247   6.25   0.215   0.242   4.99   0.173   0.236   4.91   0.164   0.247   129   140   91.1   105
1   2.4   0.794   0.874   0.883   0.852   0.938   0.793   0.744   0.744   8.75   0.311   0.243   10.3   0.372   0.245   10.3   0.374   0.242   10.4   0.375   0.236   10.5   0.377   0.239   8.88   0.315   0.236   6.69   0.238   0.23   6.6   0.231   0.228   128   139   90.5   104
1   2.6   0.873   0.94   0.951   0.924   0.972   0.86   0.848   0.825   11   0.4   0.24   12.8   0.473   0.23   12.8   0.473   0.235   13.2   0.482   0.242   13.3   0.484   0.245   11.2   0.405   0.238   8.85   0.322   0.231   8.24   0.293   0.242   128   139   90.1   104
1   2.8   0.931   0.971   0.97   0.97   0.991   0.936   0.905   0.914   13.2   0.493   0.223   14.9   0.563   0.223   15.1   0.566   0.225   15.5   0.578   0.23   15.6   0.58   0.234   13.3   0.497   0.225   10.5   0.389   0.225   9.88   0.361   0.226   127   138   89.4   104
1   3   0.969   0.988   0.991   0.978   0.996   0.981   0.959   0.958   15.4   0.571   0.229   17   0.641   0.226   17   0.64   0.225   17.5   0.657   0.227   17.7   0.659   0.23   15.6   0.58   0.227   11.8   0.445   0.22   11.5   0.422   0.231   126   138   89   103
