n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0488   0.054   0.0476   0.0543   0.0891   0.0516   0.0476   0.0527   0.344   0.0012   0.176   0.328   0.00116   0.172   0.346   0.00128   0.18   0.349   0.00122   0.179   0.349   0.00122   0.179   0.379   0.00133   0.196   0.362   0.00101   0.197   0.373   0.00125   0.192   199   210   152   168
0   3   0.16   0.173   0.154   0.171   0.293   0.173   0.163   0.143   1.5   0.0155   0.209   1.5   0.0156   0.206   1.53   0.0157   0.219   1.65   0.0175   0.228   1.65   0.0175   0.228   1.49   0.0153   0.211   1.63   0.0168   0.247   1.62   0.0163   0.245   205   215   158   175
0   5   0.557   0.517   0.538   0.58   0.789   0.567   0.51   0.521   6.95   0.0944   0.254   6.89   0.0926   0.251   7.23   0.0985   0.249   7.58   0.103   0.25   7.59   0.103   0.251   6.98   0.095   0.251   6.31   0.0861   0.24   6.39   0.086   0.254   206   215   161   177
0   6   0.721   0.721   0.712   0.761   0.915   0.717   0.698   0.674   11.1   0.159   0.245   10.9   0.154   0.249   11.4   0.162   0.252   12.1   0.174   0.242   12.2   0.174   0.243   11.1   0.159   0.24   9.86   0.143   0.228   10   0.141   0.248   206   215   161   176
0   7   0.853   0.853   0.854   0.876   0.976   0.852   0.838   0.835   16.5   0.243   0.236   15.7   0.228   0.242   16.6   0.242   0.245   17.9   0.262   0.242   17.9   0.262   0.242   16.5   0.242   0.233   14.2   0.211   0.229   14.6   0.212   0.244   207   215   161   177
0   8   0.951   0.941   0.945   0.935   0.995   0.945   0.941   0.923   21.6   0.32   0.236   20.3   0.302   0.235   21.6   0.319   0.241   22.5   0.335   0.235   22.6   0.335   0.236   21.5   0.32   0.235   18.4   0.278   0.223   18.3   0.27   0.237   208   216   162   178
0   9   0.979   0.975   0.972   0.96   0.999   0.975   0.965   0.961   26.7   0.403   0.232   24.7   0.37   0.236   26.5   0.397   0.235   27.7   0.415   0.238   27.8   0.416   0.239   26.5   0.401   0.229   21.8   0.331   0.226   23.2   0.349   0.233   209   217   163   177
0   10   0.995   0.991   0.996   0.974   1   0.995   0.991   0.984   29.6   0.451   0.224   27.7   0.419   0.229   29.4   0.445   0.229   30.8   0.464   0.233   30.9   0.465   0.234   29.6   0.451   0.226   25   0.38   0.226   25.8   0.39   0.228   207   215   161   175
0   20   1   1   1   0.965   1   1   1   1   48.5   0.756   0.214   46.9   0.718   0.227   48.3   0.746   0.22   48.8   0.753   0.223   48.9   0.753   0.224   48.4   0.757   0.212   39.2   0.612   0.212   42.1   0.653   0.217   205   213   160   175
0   30   1   1   1   0.98   1   1   1   1   54.7   0.86   0.208   53.8   0.826   0.226   54.8   0.851   0.217   54.9   0.851   0.219   55   0.851   0.221   54.7   0.861   0.208   44.6   0.698   0.21   47.8   0.745   0.214   205   212   162   174
0   40   1   1   1   0.979   1   1   1   1   57.2   0.901   0.206   56.8   0.872   0.226   57.4   0.894   0.215   57   0.888   0.216   57.2   0.888   0.218   57.1   0.902   0.206   46.1   0.727   0.205   49.9   0.783   0.21   203   210   159   176
0   50   1   1   1   0.974   1   1   1   1   58.3   0.923   0.203   58.4   0.899   0.225   58.9   0.918   0.216   58.5   0.909   0.217   58.7   0.91   0.22   58.4   0.924   0.204   47.2   0.746   0.204   51.5   0.806   0.211   201   209   157   172
