n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.053   0.0516   0.0502   0.0581   0.0913   0.0556   0.0508   0.0535   0.342   0.00177   0.198   0.334   0.00171   0.191   0.349   0.00182   0.197   0.354   0.0019   0.195   0.354   0.0019   0.195   0.365   0.00195   0.208   0.362   0.00218   0.201   0.377   0.00208   0.21   187   198   154   148
0   1.2   0.068   0.069   0.064   0.083   0.134   0.087   0.087   0.071   0.506   0.0068   0.209   0.484   0.00645   0.199   0.519   0.0069   0.214   0.481   0.00675   0.198   0.481   0.00675   0.198   0.532   0.0072   0.222   0.513   0.0072   0.212   0.513   0.0077   0.198   187   197   154   148
0   1.4   0.255   0.246   0.253   0.249   0.347   0.267   0.21   0.22   1.68   0.0524   0.196   1.69   0.0512   0.221   1.75   0.0543   0.21   1.57   0.0468   0.206   1.58   0.0468   0.206   1.65   0.0499   0.211   1.4   0.0408   0.207   1.35   0.0405   0.185   186   197   153   148
0   1.5   0.46   0.473   0.499   0.424   0.572   0.454   0.375   0.358   3.33   0.117   0.203   3.33   0.115   0.214   3.57   0.125   0.208   2.98   0.101   0.219   2.99   0.101   0.219   3.18   0.112   0.206   2.37   0.0796   0.211   2.38   0.0799   0.206   186   196   153   148
0   1.6   0.69   0.707   0.737   0.651   0.789   0.678   0.56   0.546   5.77   0.214   0.209   5.76   0.212   0.211   6.09   0.226   0.213   5.25   0.191   0.213   5.26   0.191   0.213   5.6   0.207   0.209   3.91   0.142   0.201   3.91   0.141   0.204   185   196   153   147
0   1.7   0.878   0.899   0.905   0.841   0.927   0.883   0.757   0.739   8.79   0.339   0.2   8.62   0.332   0.202   9.08   0.351   0.203   8.12   0.307   0.207   8.16   0.309   0.207   8.64   0.333   0.201   5.93   0.225   0.198   6   0.223   0.207   185   196   153   147
0   1.8   0.966   0.979   0.979   0.936   0.99   0.968   0.889   0.875   11.5   0.452   0.194   11.4   0.445   0.196   11.9   0.466   0.197   10.9   0.422   0.202   11   0.423   0.203   11.3   0.442   0.192   7.95   0.306   0.201   7.9   0.306   0.193   185   196   152   147
0   2   1   0.998   0.999   0.977   1   0.999   0.991   0.983   16.6   0.656   0.194   16.2   0.64   0.197   16.8   0.665   0.195   16.2   0.633   0.202   16.3   0.635   0.203   16.4   0.648   0.194   12.1   0.472   0.196   11.8   0.463   0.194   184   195   152   147
0   2.2   1   1   1   0.968   1   1   0.999   0.999   19.8   0.786   0.193   19.2   0.762   0.194   19.9   0.788   0.196   19.7   0.773   0.203   19.8   0.774   0.204   19.7   0.78   0.196   14.8   0.586   0.192   14.7   0.578   0.196   183   194   151   146
0   2.4   1   1   1   0.978   1   1   1   1   21.7   0.866   0.191   21.3   0.846   0.196   21.8   0.867   0.193   21.8   0.859   0.201   21.8   0.86   0.202   21.6   0.863   0.191   16.9   0.67   0.192   16.7   0.662   0.194   183   194   151   146
0   2.6   1   1   1   0.975   1   1   1   1   22.9   0.913   0.192   22.6   0.898   0.194   23   0.914   0.193   23.1   0.911   0.2   23.1   0.911   0.2   22.9   0.911   0.193   18.4   0.727   0.194   18.1   0.719   0.192   183   193   150   146
