n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0548   0.0541   0.0495   0.0541   0.0907   0.0531   0.0495   0.0465   0.328   0.00163   0.209   0.334   0.0016   0.205   0.338   0.0016   0.211   0.33   0.00156   0.204   0.33   0.00156   0.204   0.368   0.00181   0.227   0.349   0.00206   0.218   0.37   0.00234   0.223   201   210   159   167
0   1.2   0.14   0.125   0.134   0.115   0.167   0.132   0.0914   0.111   0.652   0.0549   0.184   0.603   0.0482   0.185   0.654   0.0533   0.205   0.553   0.0397   0.204   0.554   0.0401   0.204   0.673   0.0549   0.202   0.537   0.0339   0.218   0.632   0.0482   0.205   200   210   158   166
0   1.3   0.346   0.35   0.366   0.312   0.402   0.323   0.277   0.31   1.51   0.182   0.204   1.47   0.18   0.196   1.61   0.2   0.213   1.36   0.161   0.21   1.36   0.163   0.21   1.53   0.178   0.219   1.12   0.126   0.207   1.33   0.154   0.196   200   209   158   166
0   1.4   0.712   0.694   0.731   0.664   0.764   0.667   0.601   0.656   2.99   0.421   0.196   2.95   0.417   0.203   3.1   0.439   0.197   2.75   0.374   0.209   2.75   0.374   0.209   2.95   0.408   0.209   2.09   0.272   0.206   2.4   0.321   0.204   199   209   158   165
0   1.5   0.939   0.932   0.958   0.903   0.963   0.915   0.844   0.886   4.3   0.63   0.2   4.37   0.643   0.208   4.51   0.658   0.207   3.98   0.577   0.201   3.99   0.579   0.201   4.26   0.624   0.202   2.9   0.404   0.203   3.19   0.445   0.211   199   208   157   165
0   1.6   0.995   0.989   0.995   0.961   0.996   0.986   0.966   0.972   5.25   0.78   0.205   5.36   0.798   0.209   5.45   0.807   0.211   5.02   0.737   0.208   5.03   0.738   0.208   5.3   0.782   0.21   3.55   0.515   0.198   3.64   0.521   0.207   198   208   157   164
0   1.7   1   0.999   1   0.968   1   0.999   0.996   0.995   5.87   0.883   0.201   5.96   0.901   0.203   6.05   0.905   0.207   5.72   0.855   0.204   5.72   0.856   0.204   5.94   0.882   0.211   3.94   0.581   0.199   3.99   0.578   0.207   198   208   157   164
0   1.8   1   1   1   0.976   1   1   0.998   0.999   6.25   0.939   0.206   6.27   0.948   0.203   6.35   0.952   0.209   6.18   0.921   0.21   6.19   0.923   0.211   6.26   0.942   0.206   4.29   0.627   0.208   4.16   0.605   0.207   198   207   157   164
