n_conf   beta   p_new   p_new_wt1   p_new_omni   p_comp   p_compHM   p_pool   p_16S   p_shot   new_n   new_sen   new_fdr   newwt1_n   newwt1_sen   newwt1_fdr   newOmni_n   newOmni_sen   newOmni_fdr   pcom_n   pcom_sen   pcom_fdr   pcomHM_n   pcomHM_sen   pcomHM_fdr   pool_n   pool_sen   pool_fdr   S16_n   S16_sen   S16_fdr   shot_n   shot_sen   shot_fdr   J_pcom   J_pool   J_16S   J_shot
0   1   0.0546   0.0524   0.0498   0.0532   0.0864   0.0558   0.0492   0.049   0.336   0.00197   0.207   0.322   0.00175   0.2   0.334   0.00188   0.208   0.339   0.00168   0.21   0.339   0.00171   0.21   0.358   0.00171   0.224   0.355   0.00195   0.218   0.355   0.00275   0.221   187   197   159   144
0   1.2   0.124   0.13   0.13   0.104   0.168   0.112   0.101   0.117   0.671   0.0533   0.209   0.675   0.0485   0.223   0.724   0.0568   0.211   0.652   0.0438   0.216   0.654   0.044   0.216   0.682   0.0511   0.213   0.637   0.0409   0.212   0.669   0.0495   0.229   186   196   158   143
0   1.3   0.364   0.366   0.386   0.334   0.427   0.328   0.279   0.338   1.67   0.205   0.221   1.6   0.192   0.222   1.74   0.213   0.219   1.44   0.17   0.207   1.44   0.17   0.207   1.55   0.187   0.217   1.19   0.131   0.203   1.37   0.162   0.21   186   196   158   143
0   1.4   0.735   0.687   0.735   0.67   0.775   0.695   0.582   0.646   3.1   0.443   0.197   3.08   0.427   0.213   3.25   0.456   0.213   2.8   0.38   0.212   2.81   0.382   0.212   2.95   0.411   0.208   2.1   0.271   0.21   2.41   0.321   0.22   185   195   158   142
0   1.5   0.939   0.939   0.957   0.9   0.956   0.918   0.841   0.886   4.39   0.647   0.206   4.35   0.636   0.211   4.49   0.659   0.209   4.05   0.586   0.206   4.06   0.586   0.205   4.22   0.613   0.212   2.9   0.406   0.201   3.12   0.444   0.205   185   195   157   142
0   1.6   0.997   0.994   0.996   0.971   0.996   0.989   0.968   0.98   5.35   0.799   0.206   5.4   0.801   0.212   5.47   0.814   0.21   5.04   0.747   0.207   5.05   0.748   0.206   5.24   0.78   0.207   3.52   0.509   0.2   3.62   0.526   0.203   185   195   157   142
0   1.7   1   0.999   1   0.972   1   1   0.997   0.999   5.93   0.894   0.204   5.95   0.897   0.205   6.03   0.908   0.205   5.71   0.854   0.207   5.71   0.854   0.207   5.82   0.873   0.206   3.93   0.573   0.207   3.97   0.579   0.205   184   194   157   141
0   1.8   1   1   1   0.975   1   1   1   1   6.29   0.948   0.207   6.34   0.952   0.211   6.39   0.96   0.211   6.19   0.926   0.211   6.19   0.926   0.211   6.22   0.936   0.208   4.26   0.628   0.204   4.13   0.612   0.201   184   194   157   141
